Ma  Alt Mx  My  Mz  F1  F2  F3  F4
0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0
0	100000	0	0	0	0	0	0	0
5	100000	0	0	0	0	0	0	0
0	0	100000	0	0	10000	0	-10000	0
5	0	100000	0	0	10000	0	-10000	0
0	100000	100000	0	0	10000	0	-10000	0
5	100000	100000	0	0	10000	0	-10000	0
0	0	0	100000	0	0	10000	0	-10000
5	0	0	100000	0	0	10000	0	-10000
0	100000	0	100000	0	0	10000	0	-10000
5	100000	0	100000	0	0	10000	0	-10000
0	0	100000	100000	0	10000	10000	-10000	-10000
5	0	100000	100000	0	10000	10000	-10000	-10000
0	100000	100000	100000	0	10000	10000	-10000	-10000
5	100000	100000	100000	0	10000	10000	-10000	-10000
0	0	0	0	100000	-10000	-10000	-10000	-10000
5	0	0	0	100000	-10000	-10000	-10000	-10000
0	100000	0	0	100000	-10000	-10000	-10000	-10000
5	100000	0	0	100000	-10000	-10000	-10000	-10000
0	0	100000	0	100000	0	-10000	-20000	-10000
5	0	100000	0	100000	0	-10000	-20000	-10000
0	100000	100000	0	100000	0	-10000	-20000	-10000
5	100000	100000	0	100000	0	-10000	-20000	-10000
0	0	0	100000	100000	-10000	0	-10000	-20000
5	0	0	100000	100000	-10000	0	-10000	-20000
0	100000	0	100000	100000	-10000	0	-10000	-20000
5	100000	0	100000	100000	-10000	0	-10000	-20000
0	0	100000	100000	100000	0	0	-20000	-20000
5	0	100000	100000	100000	0	0	-20000	-20000
0	100000	100000	100000	100000	0	0	-20000	-20000
5	100000	100000	100000	100000	0	0	-20000	-20000
0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0
0	100000	0	0	0	0	0	0	0
5	100000	0	0	0	0	0	0	0
0	0	-100000	0	0	-10000	0	10000	0
5	0	-100000	0	0	-10000	0	10000	0
0	100000	-100000	0	0	-10000	0	10000	0
5	100000	-100000	0	0	-10000	0	10000	0
0	0	0	-100000	0	0	-10000	0	10000
5	0	0	-100000	0	0	-10000	0	10000
0	100000	0	-100000	0	0	-10000	0	10000
5	100000	0	-100000	0	0	-10000	0	10000
0	0	-100000	-100000	0	-10000	-10000	10000	10000
5	0	-100000	-100000	0	-10000	-10000	10000	10000
0	100000	-100000	-100000	0	-10000	-10000	10000	10000
5	100000	-100000	-100000	0	-10000	-10000	10000	10000
0	0	0	0	-100000	10000	10000	10000	10000
5	0	0	0	-100000	10000	10000	10000	10000
0	100000	0	0	-100000	10000	10000	10000	10000
5	100000	0	0	-100000	10000	10000	10000	10000
0	0	-100000	0	-100000	0	10000	20000	10000
5	0	-100000	0	-100000	0	10000	20000	10000
0	100000	-100000	0	-100000	0	10000	20000	10000
5	100000	-100000	0	-100000	0	10000	20000	10000
0	0	0	-100000	-100000	10000	0	10000	20000
5	0	0	-100000	-100000	10000	0	10000	20000
0	100000	0	-100000	-100000	10000	0	10000	20000
5	100000	0	-100000	-100000	10000	0	10000	20000
0	0	-100000	-100000	-100000	0	0	20000	20000
5	0	-100000	-100000	-100000	0	0	20000	20000
0	100000	-100000	-100000	-100000	0	0	20000	20000
5	100000	-100000	-100000	-100000	0	0	20000	20000





