Ma  Alt Mx  My  Mz  F1  F2  F3  F4
0	0	0	0	0	0	0	0	0
1	0	0	0	0	1	6	11	16
0	1	0	0	0	2	7	12	17
1	1	0	0	0	3	13	23	33
0	0	1	0	0	3	8	13	18
1	0	1	0	0	4	14	24	34
0	1	1	0	0	5	15	25	35
1	1	1	0	0	6	21	36	51
0	0	0	1	0	4	9	14	19
1	0	0	1	0	5	15	25	35
0	1	0	1	0	6	16	26	36
1	1	0	1	0	7	22	37	52
0	0	1	1	0	7	17	27	37
1	0	1	1	0	8	23	38	53
0	1	1	1	0	9	24	39	54
1	1	1	1	0	10	30	50	70
0	0	0	0	1	5	10	15	20
1	0	0	0	1	6	16	26	36
0	1	0	0	1	7	17	27	37
1	1	0	0	1	8	23	38	53
0	0	1	0	1	8	18	28	38
1	0	1	0	1	9	24	39	54
0	1	1	0	1	10	25	40	55
1	1	1	0	1	11	31	51	71
0	0	0	1	1	9	19	29	39
1	0	0	1	1	10	25	40	55
0	1	0	1	1	11	26	41	56
1	1	0	1	1	12	32	52	72
0	0	1	1	1	12	27	42	57
1	0	1	1	1	13	33	53	73
0	1	1	1	1	14	34	54	74
1	1	1	1	1	15	40	65	90
