AOA,Cm
0.098271796641362,0.024470721528675
0.786066540142627,0.086947126389658
1.29791379112031,0.139683863572693
1.96971330802853,0.200022292601931
2.64151282493674,0.260360721631169
3.31331234184495,0.322599573621959
3.98511185875316,0.377711839506932
4.64091614906832,0.418570933180275
5.07278726708075,0.451828335007414
5.74458678398896,0.478434256469125
6.40039107430412,0.508365918113551
7.05619536461928,0.54162331994069
7.72799488152749,0.571554981585115
8.3678039452496,0.60148664322954
9.03960346215781,0.631418304873966
9.74339343225213,0.649472323008698
10.1592693236715,0.661349966518391
10.8150736139867,0.691281628162816
11.4708779043018,0.717887549624528
12.14267742121,0.734991356278485
12.8144769381182,0.747819211268953
13.4702812284334,0.747819211268953
14.1260855187486,0.747819211268953
14.7658945824707,0.747819211268953
15.1017943409248,0.747819211268953
15.789589084426,0.717887549624528
16.4613886013343,0.67607824447041
17.1011976650564,0.647571900047148
17.7729971819646,0.60148664322954
18.4447966988728,0.558252020854259
18.9566439498505,0.496488274603858
19.6444386933517,0.451828335007414
20.0763098113642,0.407643501151357
20.7481093282724,0.362033350074138
21.3239374856223,0.305495766968001
21.9957370025305,0.257985192929231
22.6355460662526,0.20239782130387
23.2913503565678,0.125905797101449
23.8511832873246,0.055115041783682
24.4909923510467,-0.000947435582068
25.0668205083966,-0.064136499053632
25.7386200253048,-0.148230215102256
26.2824577294686,-0.21141927857382
26.9382620197838,-0.295216053534701
27.4980949505406,-0.369629490122925
28.1698944674488,-0.442795774142632
28.6817417184265,-0.527364595931643
29.3695364619278,-0.586911182060235
29.9485636645963,-0.686239955517291
