AOA,Cm
1.37201571268238,-0.280720605735684
2.81589337822671,-0.592035402273641
4.17193223905724,-0.867656701209927
6.01829517396184,-1.28948182061873
7.52740217969165,-1.61825223218151
9.06337373737373,-1.97656792594217
10.6444722222222,-2.35496513689367
12.3388434343434,-2.74183983989472
13.9403939393939,-3.12176007546936
15.5722649219467,-3.52210731340159
17.2494259259259,-3.93274691696485
19.0586430976431,-4.4113604759903
20.4291032547699,-4.74575367669457
22.1545545454545,-5.16965273970099
23.7630844811754,-5.53904248372529
25.5204326599326,-6.00477330603989
27.2270560146924,-6.38619260235871
28.9471424242424,-6.7996806119092
